Question,Category,Sub Category
How can I refer someone to join a program?,referrals,referrals
When will the referral amount be transferred?,referrals,referrals
How can i update the bank account details for a referral?,referrals,referrals
Can we visit the campus as a part of the program?,campus-connect,campus-connect
what is criteria to clear the program?,program-related-query,program-clearance-criteria
Could you please share the program structure & share the topics that will be covered?,program-related-query,program-structure
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
Where can i access notes?,learning-support,notes
what is criteria to avail placement support?,program-related-query,program-clearance-criteria
Could you please provide the class timetable with dates and timings?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
Could you please connect me with my mentor for guidance and support?,learning-support,mentor-support
"I need help in assignment, i want a doubt clearning session?",learning-support,doubt-clearing-session
Where can i access notes?,learning-support,notes
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
how do i join WA community  for my batch?,product-support,product-support
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,product-support,lecture
My assignments show as overdue but I can't submit them. What should I do?,product-support,assignment 
I can't access recorded lectures or they're not playing. What should I do?,product-support,lecture
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
What is the attendance criteria to clear the program?,attendance-query,attendance-query
Can you share weightage of all the evaluation?,evaluation,schedule-and-weightage
How do I setup proctoring for evaluations?,evaluation,proctoring
When will i get my result for the last evaluation?,evaluation,result
Where can i see my results of my last evaluation?,evaluation,result
How can I refer someone to join a program?,referrals,referrals
When will the referral amount be transferred?,referrals,referrals
How can i update the bank account details for a referral?,referrals,referrals
Can we visit the campus as a part of the program?,campus-connect,campus-connect
When is the campus visit scheduled?,campus-connect,campus-connect
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
how do i join WA community  for my batch?,product-support,product-support
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,product-support,lecture
My assignments show as overdue but I can't submit them. What should I do?,product-support,assignment 
I can't access recorded lectures or they're not playing. What should I do?,product-support,lecture
how do i join WA community  for my batch?,product-support,product-support
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
What is the attendance criteria to clear the program?,attendance-query,attendance-query
Can you share weightage of all the evaluation?,evaluation,schedule-and-weightage
How do I setup proctoring for evaluations?,evaluation,proctoring
How can I refer someone to join a program?,referrals,referrals
When will the referral amount be transferred?,referrals,referrals
How can i update the bank account details for a referral?,referrals,referrals
